resume_text,category
"python pandas numpy machine learning data analysis","Data Scientist"
"data analysis statistics python visualization","Data Scientist"
"deep learning tensorflow pytorch python","Data Scientist"
"sql data cleaning excel python","Data Scientist"

"java spring boot api backend mysql","Backend Developer"
"nodejs express mongodb backend api","Backend Developer"
"c# .net backend sql server api","Backend Developer"
"rest api microservices docker backend","Backend Developer"

"html css javascript react frontend ui","Frontend Developer"
"frontend react vue css html responsive","Frontend Developer"
"javascript typescript frontend web","Frontend Developer"
"angular html css frontend","Frontend Developer"

"aws docker kubernetes ci cd devops","DevOps Engineer"
"linux bash scripting devops cloud","DevOps Engineer"
"terraform aws infrastructure devops","DevOps Engineer"
"jenkins docker ci cd pipeline","DevOps Engineer"
